0	1
1.112	2
2.827	3
2.573	3
7.074	4
5.332	6
5.606	7
6.463	9
6.475	10
6.928	11
7.68	12
7.47	13
7.476	14
7.976	16
7.779	19
8.032	20
8.111	23
8.261	24
8.332	27
8.448	28
8.481	31
8.493	32
8.52	35
8.57	37
8.557	39
8.595	40
8.551	40
8.619	45
8.723	48
8.742	51
8.776	52
8.765	55
8.79	56
8.732	58
8.768	59
8.781	60
8.752	63
8.736	64
8.757	65
8.76	66
8.756	68
8.701	68
8.722	70
8.718	71
8.732	72
8.725	74
8.701	75
8.718	78
8.688	79
8.711	80
8.696	81
8.717	84
8.697	85
8.712	86
8.711	87
8.733	88
8.71	90
8.664	93
8.667	94
8.649	95
8.654	96
8.635	98
8.61	98
8.607	102
8.584	103
8.571	105
8.58	106
8.554	107
8.567	108
8.548	109
8.545	112
8.532	114
8.517	115
8.517	118
8.505	120
8.482	121
8.472	123
8.445	127
8.449	128
8.431	129
8.43	130
8.424	131
8.428	132
8.41	133
8.393	138
8.378	139
8.376	140
8.354	141
8.346	142
8.327	144
8.303	145
8.239	151
8.244	152
8.229	153
8.227	154
8.215	156
8.202	158
8.189	159
8.183	160
8.173	162
8.162	163
8.159	164
8.147	165
8.142	166
8.132	167
8.13	168
8.115	169
8.097	172
8.069	175
8.049	178
8.035	180
8.023	181
8.018	182
8.005	184
7.991	185
7.989	186
7.978	187
7.962	190
7.948	191
7.948	191
7.949	192
7.938	193
7.938	193
7.936	194
7.927	195
7.927	196
7.916	197
7.906	200
7.897	202
7.886	203
7.878	205
7.875	206
7.867	208
7.848	209
7.835	209
7.812	210
7.694	222
7.684	223
7.662	226
7.651	227
7.618	231
7.615	232
7.591	235
7.57	238
